geo,name,indicator,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
kaz,Kazakhstan,pop,2041282,2041282,2041282,2041282,2041282,2041282,2041282,2041282,2041282,2041282,2041282,2042175,2043970,2046674,2050295,2054844,2060327,2066754,2074133,2082472,2091782,2102070,2113346,2125618,2138896,2153190,2168508,2184859,2202254,2220702,2240213,2260796,2281568,2302531,2323686,2345036,2366582,2388326,2410270,2432415,2454764,2477318,2500080,2523050,2546232,2569626,2593236,2617062,2641108,2665374,2689863,2714442,2739245,2764275,2789534,2815023,2840746,2866703,2892898,2919332,2946007,2972926,3000091,3027505,3055169,3083085,3111257,3139686,3168375,3197326,3226542,3256024,3285776,3314876,3345165,3375732,3406577,3436843,3468247,3499938,3531918,3563397,3595957,3628815,3661259,3694713,3728473,3761913,3796287,3830976,3865981,3901306,3936954,3972928,4009230,4045864,4082833,4120140,4157787,4195778,4234117,4272806,4311247,4350641,4390395,4430511,4470995,4510968,4552186,4593781,4635756,4677854,4720598,4763732,4807260,4851185,4895513,4940245,4985719,5031527,5077756,5124410,5171493,5219008,5266960,5315353,5364190,5413475,5463214,5513410,5564066,5615189,5666781,5718847,5771391,5824418,5877932,5931938,5986441,6041443,6096952,6152970,6209503,6266556,6324132,6382238,6440877,6500056,6559778,6620049,6702991,6831323,7041797,7315651,7636830,7991998,8370630,8764919,9169454,9580799,9996000,10411028,10819457,11211860,11577469,11909003,12201038,12455711,12682931,12897413,13109996,13324670,13538749,13748319,13946819,14130071,14296769,14450533,14597846,14747561,14905889,15072355,15244045,15421226,15603720,15789437,15980988,16173101,16346206,16474563,16540258,16540017,16481113,16370000,16217491,16034956,15820631,15581752,15349899,15165574,15057363,15039971,15105645,15232325,15385916,15541457,15690861,15841355,16001176,16184163,16398976,16647380,16921179,17207257,17487779,17749648,17987736,18204499,18403860,18592970,18777139,18956868,19130148,19296971,19457023,19610258,19757087,19898462,20035454,20169369,20301322,20431842,20561319,20690459,20819957,20950360,21081969,21214885,21349154,21484634,21621166,21758673,21896943,22035402,22173301,22309977,22445138,22578426,22709123,22836340,22959432,23078067,23192121,23301376,23405696,23505028,23599296,23688633,23773466,23854360,23931858,24006162,24077505,24146388,24213432,24279110,24343722,24407451,24470474,24532943,24594973,24656654,24718076,24779305,24840410,24901384,24962197,25022714,25082647,25141620,25199293,25255475,25309986,25362511,25412709,25460275,25505022,25546752,25585162,25619920,25650770,25677568,25700252,25718832,25733347,25743864,25750428,25753087,25751887,25746850,25738006
ken,Kenya,pop,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2574000,2575105,2576211,2577316,2578421,2579526,2580632,2581737,2582842,2583947,2585053,2586158,2587263,2588368,2589474,2590579,2591684,2592789,2593895,2595000,2596105,2597210,2598316,2599421,2600526,2601631,2602737,2603842,2604947,2606052,2607158,2608263,2609368,2610473,2611579,2612684,2613789,2614894,2616000,2617105,2618210,2619315,2620421,2621526,2622631,2623736,2624842,2625947,2627052,2628157,2629263,2630368,2631473,2632578,2633684,2634789,2635894,2636999,2638105,2639210,2640315,2641420,2642526,2643631,2644736,2645841,2646947,2648052,2647684,2647684,2647684,2662521,2692447,2737713,2783740,2830541,2878129,2926517,2975718,3025747,3076617,3144677,3230747,3335677,3444015,3555873,3671363,3790604,3913717,4040830,4172070,4307574,4447478,4591926,4741066,4895049,5054034,5218183,5387662,5732430,6076758,6240163,6412363,6593109,6782287,6979931,7186211,7401421,7625995,7860475,8105440,8361441,8628972,8908422,9200157,9504703,9822499,10154484,10502245,10867716,11252492,11657514,12083188,12529852,12997595,13486629,13996704,14528293,15082994,15662852,16268990,16901677,17559430,18239404,18937738,19651225,20378626,21119318,21871442,22633022,23402507,24179598,24963953,25754114,26548486,27346456,28147734,28954114,29769803,30600397,31450483,32321482,33214009,34130852,35074931,36048288,37052050,38085909,39148416,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567,49699862,50950879,52214791,53491697,54780852,56081772,57395145,58722068,60063158,61418176,62786272,64166647,65558242,66959993,68371214,69791017,71217897,72650119,74086106,75524882,76965577,78406959,79847748,81286865,82723272,84156324,85585822,87011808,88434154,89852235,91265247,92672520,94073394,95467137,96853106,98230578,99598638,100956312,102302686,103636956,104958416,106266321,107559944,108838578,110101466,111347854,112576964,113788006,114980216,116153024,117305781,118437579,119547404,120634465,121698202,122738386,123754904,124747873,125717353,126663059,127584812,128482766,129357199,130208287,131036079,131840328,132620596,133376232,134106797,134812145,135492403,136147678,136778185,137384135,137965646,138522820,139055720,139564455,140049179,140510131,140947640,141362093,141753991,142123899
kir,Kiribati,pop,17876,17876,17876,17876,17876,17876,17876,17876,17876,17876,17876,17878,17883,17891,17901,17913,17928,17946,17966,17989,18014,18041,18072,18105,18140,18178,18219,18262,18307,18356,18407,18461,18514,18568,18623,18677,18731,18786,18841,18896,18951,19006,19061,19117,19173,19229,19285,19341,19397,19454,19511,19643,19777,19911,20046,20181,20317,20453,20591,20728,20867,21006,21146,21286,21427,21569,21711,21854,21997,22142,22286,22432,22578,22724,22872,23020,23169,23318,23468,23619,23770,23922,24075,24228,24382,24537,24693,24849,25006,25164,25322,25481,25641,25802,25963,26125,26288,26451,26616,26781,26946,27113,27280,27448,27616,27786,27956,28126,28298,28470,28644,28817,28992,29168,29344,29521,29699,29878,29934,30021,30109,30197,30285,30373,30461,30550,30639,30729,30818,30908,30998,31089,31179,31270,31361,31453,31544,31636,31729,31821,31914,32007,32100,32194,32288,32382,32476,32571,32666,32761,33048,33623,34286,35007,35777,36596,37455,38346,39268,40240,41233,42257,43302,44363,45425,46453,47459,48437,49388,50294,51178,52025,52824,53604,54380,55169,55977,56810,57662,58506,59339,60133,60920,61768,62765,64003,65518,67261,69098,70860,72412,73700,74769,75719,76671,77730,78907,80184,81550,82966,84406,85858,87343,88895,90542,92325,94260,96311,98440,100568,102652,104656,106613,108535,110458,112407,114395,116398,118414,120428,122439,124433,126413,128388,130343,132270,134180,136058,137909,139739,141538,143329,145085,146832,148583,150340,152099,153872,155662,157460,159295,161147,163017,164902,166808,168697,170593,172479,174360,176230,178085,179925,181748,183533,185309,187050,188761,190432,192089,193703,195289,196853,198375,199879,201362,202830,204279,205713,207132,208544,209956,211365,212761,214161,215551,216932,218315,219682,221040,222376,223697,224986,226244,227486,228686,229852,230975,232065,233113,234123,235097,236037,236943,237811,238644,239450,240235,240988,241709,242423,243125
prk,North Korea,pop,4345000,4345000,4345000,4345000,4345000,4345000,4345000,4345000,4345000,4345000,4345000,4345155,4345466,4345932,4346553,4347330,4348263,4349352,4350597,4351998,4353556,4355269,4357140,4359166,4361350,4363690,4366188,4368842,4371654,4374623,4377749,4381033,4384319,4387608,4390900,4394193,4397490,4400788,4404090,4407393,4410700,4414008,4417319,4420633,4423949,4427268,4430589,4433912,4437238,4440567,4443898,4453693,4463500,4473319,4483150,4492994,4502850,4512718,4522598,4532491,4542396,4552566,4563004,4573712,4584690,4595942,4607467,4619270,4631350,4643711,4656354,4669280,4682492,4694714,4708593,4722790,4737307,4751559,4766975,4782754,4798575,4814393,4830300,4846250,4862203,4878240,4894321,4910409,4926577,4942789,4959045,4975345,4991689,5008077,5024510,5040987,5057509,5074076,5090687,5107344,5124045,5140792,5157553,5174390,5191273,5208202,5225176,5242151,5259217,5276329,5293488,5310679,5327930,5375228,5453314,5562943,5674767,5788827,5894760,6005281,6117874,6232579,6349434,6468480,6589757,6713309,6839177,6967406,7098038,7231119,7366696,7504815,7645523,7788869,7934903,8083675,8235236,8389639,8546937,8707184,8870436,9036748,9206178,9378786,9554629,9733769,9916268,10102189,10291595,10484553,10549472,10248496,10049029,9957242,9972436,10086991,10285940,10547389,10843979,11145152,11424176,11665595,11871712,12065468,12282419,12547525,12864954,13222694,13609982,14010339,14410400,14809521,15207771,15593351,15952078,16274740,16554746,16796578,17015983,17235666,17472140,17731230,18008564,18298214,18590138,18877238,19156795,19431986,19708323,19993755,20293054,20609150,20937404,21265834,21577982,21862299,22113548,22335638,22537336,22731985,22929075,23131810,23336681,23538540,23729498,23904167,24061097,24203289,24335146,24463021,24591599,24722298,24854034,24985976,25116363,25243917,25368620,25490965,25610672,25727408,25840863,25950762,26056854,26158991,26257063,26350877,26440287,26524975,26604290,26677453,26743895,26803384,26855925,26901502,26940153,26971999,26997036,27015392,27027443,27033684,27034528,27030232,27020983,27007159,26989131,26967265,26941830,26913047,26881134,26846286,26808680,26768513,26725991,26681309,26634672,26586250,26536214,26484692,26431705,26377256,26321376,26264127,26205636,26146050,26085576,26024364,25962497,25900018,25836884,25773044,25708449,25643134,25577155,25510566,25443447,25375847,25307827,25239373,25170514,25101224,25031518,24961397,24890905,24820083,24748978,24677653,24606120,24534383,24462436,24390247,24317792,24245096,24172142,24098968,24025590,23952021,23878264,23804323,23730171,23655802,23581172
kor,South Korea,pop,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395236,9395709,9396418,9397364,9398547,9399966,9401623,9403516,9405647,9408016,9410622,9413465,9416547,9419866,9423423,9427219,9431252,9435525,9440035,9444785,9449773,9454763,9459757,9464753,9469751,9474753,9479757,9484763,9489772,9494784,9500049,9505567,9511338,9517364,9523643,9530178,9536968,9544013,9551315,9558873,9566882,9575149,9583674,9592457,9601499,9610801,9620362,9630183,9640265,9650608,9660937,9671000,9680799,9690333,9699600,9708602,9717336,9725803,9734003,9741935,9749598,9756992,9765420,9772176,9778631,9784787,9791208,9796495,9801443,9806394,9811342,9816298,9821256,9826212,9831177,9836145,9841109,9846085,9851064,9856047,9861034,9866025,9871019,9876018,9881021,9887393,9895136,9904255,9914753,9926632,9939897,9951316,9968114,9986613,10006818,10027064,10047258,10067585,10116344,10193928,10271398,10436148,10605243,10768670,10934775,11101554,11279354,11459856,11640434,11839704,12057999,12298992,12544992,12786653,13004615,13197877,13374783,13554026,13735605,13929868,14137483,14358449,14582752,14810394,15002988,15160201,15280698,15402530,15525029,15684578,15881512,16116830,16355487,16618323,17258363,17980219,18643801,18907661,19066125,19211385,19459429,19829390,20307897,20880428,21531331,22243633,22999243,23779372,24565349,25340918,26094750,26822585,27528214,28220780,28907071,29584631,30249456,30905365,31557578,32209314,32863704,33518385,34164544,34789935,35386507,35948932,36481585,36997800,37516487,38050424,38606821,39179545,39752024,40300401,40808569,41269319,41690833,42091026,42495728,42923131,43378101,43853448,44340558,44825885,45298611,45757361,46202604,46627442,47023880,47386312,47712788,48004786,48265026,48498083,48708497,48895845,49062429,49218985,49379208,49552855,49744659,49952244,50169242,50385560,50593662,50791919,50982212,51164435,51339238,51506975,51666655,51817230,51959108,52093053,52219340,52337651,52446826,52545244,52630834,52701817,52757653,52797740,52820366,52823536,52805846,52766651,52706283,52625667,52526273,52409408,52275571,52125133,51959235,51779192,51586184,51381157,51164855,50938159,50701864,50456832,50203896,49943942,49677931,49406883,49131721,48853082,48571682,48288513,48004663,47720971,47438117,47156310,46875421,46595034,46314891,46035236,45756436,45478440,45201162,44924624,44648945,44374484,44101930,43832083,43565653,43303084,43044596,42790297,42540208,42294443,42053090,41816605,41585832,41361839,41145395,40936945,40736354,40543014,40355997,40174645,39998755,39828569,39664540,39507167,39356816,39213628,39077522,38948169,38824974,38707134
kwt,Kuwait,pop,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81280,81260,81240,81220,81200,81180,81160,81140,81120,81100,81081,81082,81105,81150,81217,81306,81416,81549,81704,81882,82082,82304,82550,82709,83007,83331,83680,84002,84423,84873,85325,85772,86229,86688,87144,87608,88074,88538,89009,89483,89960,90439,90920,91404,91891,92380,92872,93367,93864,94364,94866,95371,95874,96384,96897,97413,97932,98446,98970,99497,100027,100557,101093,101800,102681,103739,104808,105889,107016,108145,109287,110441,111607,112786,113976,115180,116396,117625,118867,120122,121390,122672,123967,125276,126599,127935,129286,130651,132031,133425,134833,136257,137696,139149,140619,142103,143604,145120,146652,148200,153096,157932,162696,167896,174091,181888,191975,205065,221911,243235,269618,301336,338296,379891,425235,473554,524856,579007,634897,691129,746767,801142,854604,908520,964834,1024940,1089209,1157033,1227601,1299683,1372318,1442991,1511314,1580638,1655833,1738994,1836105,1942810,2038885,2096932,2099615,2035661,1916877,1777137,1663932,1610651,1631740,1715314,1836353,1957066,2050741,2109355,2143833,2169118,2207939,2276623,2377258,2503410,2652340,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584,4136528,4197128,4248974,4302875,4361470,4422070,4483898,4544704,4602914,4659078,4714483,4768932,4822077,4873674,4923698,4972299,5019631,5065917,5111323,5155871,5199492,5242093,5283579,5323821,5362825,5400553,5436869,5471548,5504477,5535587,5564935,5592606,5618766,5643532,5666974,5689113,5710012,5729703,5748264,5765752,5782284,5797996,5813098,5827732,5841984,5855923,5869667,5883346,5897033,5910795,5924664,5938632,5952682,5966806,5980994,5995225,6009443,6023556,6037495,6051219,6064691,6077825,6090542,6102737,6114383,6125464,6135947,6145852,6155158,6163852,6171942,6179440,6186381,6192779,6198670,6204049,6208941,6213346,6217291,6220791,6223878,6226597,6229001,6231155
kgz,Kyrgyz Republic,pop,530343,530343,530343,530343,530343,530343,530343,530343,530343,530343,530343,530575,531041,531743,532683,533864,535287,536956,538872,541037,543453,546124,549052,552238,555685,559396,563372,567617,572133,576922,581987,587331,592723,598165,603657,609199,614792,620437,626133,631882,637683,643538,649447,655409,661427,667500,673628,679813,686054,692353,698710,705110,711569,718087,724664,731302,738001,744761,751582,758467,765414,772425,779501,786641,793846,801118,808456,815861,823334,830876,838487,846167,853918,861500,869391,877355,885391,893277,901460,909717,918050,926253,934737,943299,951754,960472,969270,977985,986943,995983,1005106,1014313,1023604,1032980,1042442,1051991,1061627,1071351,1081164,1091068,1101062,1111147,1121169,1131439,1141803,1152261,1162816,1173238,1183985,1194830,1205775,1216752,1227897,1239144,1250495,1261949,1273508,1285173,1296982,1308890,1320907,1333035,1345274,1357625,1370090,1382669,1395363,1408175,1421103,1434151,1447318,1460606,1474016,1487550,1501207,1514990,1528900,1542937,1557103,1571399,1585827,1600387,1615080,1629909,1644873,1659975,1675216,1690596,1706118,1721782,1740004,1765555,1795130,1828195,1864495,1904060,1947219,1994561,2046915,2105181,2170093,2241753,2319455,2401463,2485430,2569458,2653050,2736076,2817335,2895544,2969864,3039767,3105535,3168293,3229688,3291077,3352618,3414320,3477229,3542522,3610981,3682672,3757184,3834168,3913058,3993106,4075187,4158607,4239295,4311868,4372890,4419631,4454189,4483840,4518801,4566087,4629398,4705638,4786773,4861129,4920718,4962590,4990687,5012269,5037929,5075380,5126730,5189720,5262294,5340781,5422337,5506601,5594108,5683808,5774566,5865401,5955734,6045117,6132932,6218616,6301718,6381898,6459055,6533394,6605291,6675072,6742763,6808412,6872400,6935224,6997284,7058739,7119629,7180113,7240301,7300284,7360133,7419811,7479195,7538049,7596178,7653535,7710049,7765538,7819764,7872543,7923784,7973435,8021470,8067880,8112653,8155767,8197197,8236949,8275017,8311417,8346162,8379290,8410905,8441113,8470031,8497710,8524165,8549468,8573672,8596829,8618990,8640179,8660406,8679635,8697868,8715126,8731432,8746866,8761454,8775263,8788315,8800607,8812199,8823140,8833460,8843173,8852243,8860660,8868391,8875401,8881680,8887168,8891765,8895348,8897809,8899067,8899097,8897881,8895416,8891668,8886609,8880196,8872337,8862952,8851934
lao,Lao,pop,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470213,470642,471287,472152,473239,474548,476084,477847,479841,482066,484526,487222,490158,493334,496754,500419,504333,508497,512914,517587,522516,527493,532518,537590,542710,547879,553098,558366,563684,569053,574473,579945,585469,591045,596675,602358,608095,613887,619734,625637,631535,637489,643499,649565,655688,661870,668109,674408,680765,687183,693831,700713,707834,715199,722813,730681,738806,747196,755854,764785,773996,783491,792024,802142,812580,823344,833601,845186,857142,869267,881094,893558,906198,918588,931583,944761,957742,971290,985030,998964,1013095,1027426,1041960,1056699,1071647,1086806,1102180,1117771,1133583,1149618,1165880,1181979,1198698,1215655,1232851,1250291,1267385,1285313,1303495,1321934,1340454,1359416,1374508,1385656,1392781,1399944,1407143,1414563,1421976,1429427,1436918,1444448,1452017,1459626,1467275,1474964,1482693,1490463,1498274,1506125,1514018,1521952,1529927,1537944,1546004,1554105,1562249,1570436,1578666,1586938,1595254,1603614,1612017,1620465,1628957,1637493,1646074,1654700,1663371,1682915,1723162,1764007,1805515,1847775,1890852,1934812,1979729,2025666,2072699,2120896,2170343,2221122,2273349,2327137,2382594,2439196,2496920,2556852,2620434,2688428,2762265,2840841,2919287,2990965,3051577,3098973,3135842,3168843,3207328,3258144,3323377,3401242,3489977,3586381,3687898,3794043,3905163,4020295,4138408,4258472,4380073,4502363,4623280,4740380,4851923,4957180,5056519,5150763,5241284,5329304,5414568,5497273,5579656,5664605,5754026,5849356,5949787,6052190,6152036,6246274,6333487,6415169,6494557,6576397,6663967,6758353,6858160,6961210,7064242,7164822,7262301,7357213,7449765,7540495,7629773,7717463,7803221,7887021,7968851,8048698,8126506,8202235,8275833,8347252,8416467,8483420,8548078,8610412,8670363,8727905,8783005,8835638,8885748,8933269,8978146,9020358,9059914,9096823,9131134,9162892,9192112,9218774,9242870,9264391,9283327,9299697,9313514,9324796,9333570,9339862,9343694,9345099,9344110,9340753,9335058,9327089,9316874,9304477,9289954,9273381,9254809,9234310,9211955,9187844,9162057,9134659,9105754,9075415,9043746,9010877,8976838,8941727,8905649,8868708,8830990,8792578,8753513,8713840,8673549,8632672,8591239,8549303,8506900,8464099,8420917,8377395,8333546,8289382,8244887,8200027
lva,Latvia,pop,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590588,590847,591369,592154,593207,594528,596122,597989,600133,602557,605262,608252,611528,615095,618954,623107,627559,632312,637367,642729,648400,654382,660420,666513,672663,678869,685133,691454,697834,704273,710771,717329,723947,730627,737368,744171,751037,757967,764960,772018,779141,786218,793359,800565,807836,815174,822578,830049,837588,845196,852872,860619,868435,876323,884282,892314,900418,908596,916849,925176,933579,942058,950614,958979,967689,976477,985346,994044,1003072,1012182,1021375,1030420,1039778,1049222,1058543,1068157,1077858,1087464,1097340,1107306,1117363,1127511,1137751,1148084,1158511,1169032,1179649,1190363,1201174,1212083,1223090,1234198,1245232,1256541,1267953,1279468,1291088,1302557,1314386,1326323,1338368,1350447,1362711,1375086,1387574,1400176,1412891,1425722,1438946,1452222,1465621,1479144,1492792,1506565,1520465,1534494,1548652,1562941,1577361,1591915,1606603,1621426,1636386,1651485,1666722,1682100,1697620,1713283,1729091,1745045,1761146,1777395,1793794,1810345,1827048,1843905,1860918,1878088,1895416,1912904,1926568,1933991,1945956,1961655,1980395,2001570,2024675,2049315,2075172,2102004,2129586,2157660,2185878,2213803,2240945,2266941,2291465,2314500,2336322,2357395,2378017,2398376,2418267,2437177,2454393,2469436,2482181,2492978,2502513,2511735,2521385,2531013,2540442,2550927,2564107,2580751,2602151,2626899,2649821,2663924,2664432,2649152,2620246,2582650,2543622,2508473,2478825,2453302,2430547,2408090,2384163,2358677,2332492,2305775,2278855,2251983,2225223,2198518,2171881,2145309,2118848,2092493,2066374,2040784,2016125,1992663,1970530,1949670,1929938,1911108,1892993,1875529,1858748,1842658,1827310,1812682,1798806,1785573,1772744,1760023,1747192,1734151,1720947,1707704,1694629,1681894,1669503,1657404,1645603,1634066,1622754,1611695,1600853,1590207,1579662,1569178,1558725,1548305,1537914,1527554,1517200,1506886,1496571,1486265,1475992,1465736,1455501,1445308,1435159,1425074,1415076,1405160,1395350,1385658,1376087,1366653,1357379,1348255,1339316,1330564,1322014,1313680,1305566,1297670,1289998,1282562,1275343,1268360,1261606,1255085,1248794,1242720,1236858,1231202,1225747,1220456,1215332,1210364,1205520,1200764,1196089,1191459,1186858,1182282,1177709,1173129,1168512,1163855,1159122,1154293,1149325
lbn,Lebanon,pop,332000,332000,332000,332000,332000,332000,332000,332000,332000,332000,332000,332114,332344,332689,333152,333732,334430,335248,336186,337245,338427,339731,341158,342711,344389,346194,348126,350186,352375,354695,357145,359728,362330,364950,367589,370247,372925,375622,378338,381074,383830,386606,389402,392218,395054,397911,400788,403687,406606,409547,412508,415033,417573,420127,422697,425282,427883,430498,433129,435776,438438,441116,443810,446520,449246,451988,454747,457522,460313,463121,465945,468786,471644,474436,477328,480236,483162,486029,488989,491966,494961,497905,500934,503982,506986,510069,513170,516236,519373,522529,525703,528895,532107,535337,538586,541854,545141,548447,551773,555118,558482,561866,565221,568645,572088,575552,579035,582468,585992,589537,593102,596667,600273,606838,616435,629143,642111,655346,669917,684539,699481,714749,730350,746291,762581,779226,796235,813614,831374,849520,868063,887011,906372,926156,946371,967028,988136,1009704,1031743,1054264,1077276,1100790,1124817,1149369,1174457,1200092,1226287,1253054,1280404,1308352,1334621,1358217,1392725,1434849,1481959,1532109,1584030,1637127,1691361,1747162,1804926,1864605,1925276,1984980,2041207,2092348,2136636,2174845,2210959,2250602,2297389,2353555,2416735,2480419,2535497,2575690,2598354,2606221,2604865,2602566,2605293,2615747,2632276,2651292,2667220,2676583,2677280,2672173,2668585,2676605,2703016,2752462,2821862,2900854,2974640,3033394,3070960,3092670,3113951,3156646,3235366,3359859,3522837,3701464,3863267,3986852,4057350,4086466,4111047,4183156,4337141,4588368,4916404,5276102,5603279,5851479,6006668,6082357,6093509,6065922,6019795,5957294,5875218,5782760,5690347,5605987,5534571,5477054,5432297,5396990,5368598,5347601,5335196,5330139,5330744,5335520,5344015,5355698,5368874,5381602,5392419,5400434,5405656,5408664,5410527,5412032,5413181,5413649,5413526,5412903,5411830,5410328,5408400,5405980,5402985,5399312,5394933,5389784,5383709,5376502,5367998,5358129,5346865,5334122,5319818,5303918,5286394,5267262,5246534,5224228,5200405,5175098,5148397,5120458,5091479,5061624,5031015,4999746,4967974,4935859,4903555,4871160,4838790,4806579,4774670,4743165,4712175,4681740,4651922,4622751,4594249,4566463,4539404,4513109,4487585,4462823,4438836,4415586,4393019,4371094,4349738
lso,Lesotho,pop,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276361,276460,276659,276959,277361,277865,278472,279182,279997,280918,281945,283079,284320,285671,287130,288700,290381,292174,294080,296099,298233,300482,302748,305031,307332,309650,311985,314338,316708,319097,321503,323928,326371,328832,331312,333811,336328,338864,341420,343995,346589,349191,351813,354454,357116,359797,362498,365220,367962,370725,373508,376312,379138,381984,384852,387742,390653,393586,396541,399518,402518,405540,408584,411575,414665,417778,420915,424003,427186,430394,433625,436815,440095,443399,446669,450023,453401,456754,460183,463638,467119,470626,474160,477720,481306,484920,488561,492229,495924,499648,503399,507179,510938,514775,518639,522533,526456,530339,534321,538333,542374,546426,550528,554662,558826,563022,567249,571508,575824,580167,584542,588950,593392,597867,602376,606919,611496,616108,620754,625435,630152,634904,639693,644517,649378,654275,659209,664181,669189,674236,679321,684444,689606,694807,700046,705326,710645,716004,721404,726845,733945,744319,754853,765581,776548,787806,799440,811543,824200,837519,851591,866462,882170,898647,915822,933655,952206,971512,991491,1012015,1033050,1054453,1076340,1099235,1123855,1150635,1179723,1210799,1243352,1276663,1310118,1343690,1377346,1410439,1442212,1472192,1499861,1525460,1550262,1576022,1603938,1634517,1667121,1700362,1732257,1761359,1787273,1810453,1831298,1850527,1868699,1885955,1902312,1918097,1933728,1949543,1965662,1982287,1999930,2019209,2040551,2064166,2089928,2117361,2145785,2174645,2203821,2233339,2263010,2292682,2322217,2351503,2380501,2409247,2437840,2466330,2494720,2523002,2551249,2579543,2607957,2636529,2665243,2694144,2723242,2752561,2782100,2811858,2841805,2871934,2902197,2932595,2963091,2993619,3024119,3054502,3084733,3114785,3144620,3174191,3203470,3232414,3260984,3289119,3316747,3343817,3370295,3396164,3421379,3445934,3469806,3492993,3515454,3537219,3558303,3578718,3598462,3617524,3635926,3653659,3670731,3687152,3702925,3718044,3732533,3746382,3759609,3772205,3784192,3795568,3806349,3816537,3826134,3835159,3843598,3851474,3858777,3865533,3871727,3877379,3882495,3887078,3891130,3894662,3897666,3900158,3902135,3903600,3904567,3905030,3904989
